AÑO,MES,PAISDESTINO,REGIONORIGEN,PUNTODECONTROL,ADUANA,CODARANCELARIO,SECTOR,PRODUCTOGRAL,PRODUCTO,MONTOFOB(US$),PESOTONELADAS,anio,REGIONSALIDA,VIATRANSPORTE,PUERTOEMBARQUE,MONTOFOB,TIPOOPERACION,CLASIFICACION
2018,Enero,Alemania,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,32815.36,4.8576,2018,,,,,,
2018,Enero,Alemania,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,72371.7,9.12,2018,,,,,,
2018,Enero,Alemania,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,25623.66,12.028,2018,,,,,,
2018,Enero,Alemania,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,185201.93,25.052,2018,,,,,,
2018,Enero,Alemania,O'Higgins,Cristo Redentor (Los Libertadores),Los Andes,8092919,No minero,Frutas y frutos,Cerezas,6427.28,0.696,2018,,,,,,
2018,Enero,Arabia Saudita,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,11520.0,1.432,2018,,,,,,
2018,Enero,Arabia Saudita,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,11268.9,2.151,2018,,,,,,
2018,Enero,Arabia Saudita,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,7512.6,1.429,2018,,,,,,
2018,Enero,Arabia Saudita,O'Higgins,Valparaíso,Valparaíso,8092919,No minero,Frutas y frutos,Cerezas,48392.0,10.672,2018,,,,,,
2018,Enero,Arabia Saudita,Valparaíso,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,36179.2,7.156,2018,,,,,,
2018,Enero,Bolivia,Metropolitana,Chungará,Arica,8092919,No minero,Frutas y frutos,Cerezas,9376.82,8.64,2018,,,,,,
2018,Enero,Bolivia,O'Higgins,Chungará,Arica,8092919,No minero,Frutas y frutos,Cerezas,114880.67,110.064,2018,,,,,,
2018,Enero,Brasil,El Maule,Aerop. A. Merino Benítez,Metropolitana,8092919,No minero,Frutas y frutos,Cerezas,55185.0,12.24,2018,,,,,,
2018,Enero,Brasil,El Maule,Cristo Redentor (Los Libertadores),Los Andes,8092919,No minero,Frutas y frutos,Cerezas,127632.0,48.389,2018,,,,,,
