AÑO,MES,PAISDESTINO,REGIONORIGEN,PUNTODECONTROL,ADUANA,MONTOFOB(US$),PESOTONELADAS,REGIONSALIDA,VIATRANSPORTE,PUERTOEMBARQUE,MONTOFOB
2018,Enero,Alemania,El Maule,Aerop. A. Merino Benítez,Metropolitana,32815.36,4.8576,,,,
2018,Enero,Alemania,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,72371.7,9.12,,,,
2018,Enero,Alemania,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,25623.66,12.028,,,,
2018,Enero,Alemania,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,185201.93,25.052,,,,
2018,Enero,Alemania,O'Higgins,Cristo Redentor (Los Libertadores),Los Andes,6427.28,0.696,,,,
2018,Enero,Arabia Saudita,El Maule,Aerop. A. Merino Benítez,Metropolitana,11520.0,1.432,,,,
2018,Enero,Arabia Saudita,El Maule,Aerop. A. Merino Benítez,Metropolitana,11268.9,2.151,,,,
2018,Enero,Arabia Saudita,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,7512.6,1.429,,,,
2018,Enero,Arabia Saudita,O'Higgins,Valparaíso,Valparaíso,48392.0,10.672,,,,
2018,Enero,Arabia Saudita,Valparaíso,Aerop. A. Merino Benítez,Metropolitana,36179.2,7.156,,,,
2018,Enero,Bolivia,Metropolitana,Chungará,Arica,9376.82,8.64,,,,
2018,Enero,Bolivia,O'Higgins,Chungará,Arica,114880.67,110.064,,,,
2018,Enero,Brasil,El Maule,Aerop. A. Merino Benítez,Metropolitana,55185.0,12.24,,,,
2018,Enero,Brasil,El Maule,Cristo Redentor (Los Libertadores),Los Andes,127632.0,48.389,,,,
2018,Enero,Brasil,El Maule,Cristo Redentor (Los Libertadores),Los Andes,88947.69,56.706,,,,
2018,Enero,Brasil,El Maule,Cristo Redentor (Los Libertadores),Los Andes,434332.0,131.9252,,,,
2018,Enero,Brasil,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,24412.74,3.145,,,,
2018,Enero,Brasil,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,66191.0,16.0,,,,
2018,Enero,Brasil,O'Higgins,Cristo Redentor (Los Libertadores),Los Andes,2016.0,0.9744,,,,
2018,Enero,Brasil,O'Higgins,Cristo Redentor (Los Libertadores),Los Andes,380206.0,130.6662,,,,
2018,Enero,Brasil,O'Higgins,Cristo Redentor (Los Libertadores),Los Andes,406339.33,171.1208,,,,
2018,Enero,Brasil,Valparaíso,Aerop. A. Merino Benítez,Metropolitana,19020.0,4.23658,,,,
2018,Enero,Brasil,Valparaíso,Cristo Redentor (Los Libertadores),Los Andes,7536.95,3.84,,,,
2018,Enero,Cambodia,O'Higgins,Aerop. A. Merino Benítez,Metropolitana,16448.9,2.076,,,,
2018,Enero,Canadá,El Maule,Aerop. A. Merino Benítez,Metropolitana,8185.5,1.209,,,,
2018,Enero,Canadá,El Maule,San Vicente,Talcahuano,76450.0,19.9076,,,,
2018,Enero,Canadá,Metropolitana,Aerop. A. Merino Benítez,Metropolitana,66420.0,12.292,,,,
2018,Enero,Canadá,Metropolitana,Caldera,Chañaral,9952.56,6.72,,,,
