AÑO,MES,PAISDESTINO,ADUANA,PESOTONELADAS,REGIONSALIDA,VIATRANSPORTE,PUERTOEMBARQUE,MONTOFOB,PRECIO_KG
2018,Enero,Alemania,Metropolitana,4.8576,El Maule,,Aerop. A. Merino Benítez,32815.36,6.755467720685113
2018,Enero,Alemania,Metropolitana,9.12,Metropolitana,,Aerop. A. Merino Benítez,72371.7,7.935493421052632
2018,Enero,Alemania,Metropolitana,12.028,O'Higgins,,Aerop. A. Merino Benítez,25623.66,2.1303342201529762
2018,Enero,Alemania,Metropolitana,25.052,O'Higgins,,Aerop. A. Merino Benítez,185201.93,7.392700383202937
2018,Enero,Alemania,Los Andes,0.696,O'Higgins,,Cristo Redentor (Los Libertadores),6427.28,9.234597701149426
2018,Enero,Arabia Saudita,Metropolitana,1.432,El Maule,,Aerop. A. Merino Benítez,11520.0,8.044692737430168
2018,Enero,Arabia Saudita,Metropolitana,2.151,El Maule,,Aerop. A. Merino Benítez,11268.9,5.238912133891214
2018,Enero,Arabia Saudita,Metropolitana,1.429,O'Higgins,,Aerop. A. Merino Benítez,7512.6,5.257242827151854
2018,Enero,Arabia Saudita,Valparaíso,10.672,O'Higgins,,Valparaíso,48392.0,4.5344827586206895
2018,Enero,Arabia Saudita,Metropolitana,7.156,Valparaíso,,Aerop. A. Merino Benítez,36179.2,5.055785354946897
2018,Enero,Bolivia,Arica,8.64,Metropolitana,,Chungará,9376.82,1.0852800925925923
2018,Enero,Bolivia,Arica,110.064,O'Higgins,,Chungará,114880.67,1.0437624473033873
2018,Enero,Brasil,Metropolitana,12.24,El Maule,,Aerop. A. Merino Benítez,55185.0,4.508578431372549
2018,Enero,Brasil,Los Andes,48.389,El Maule,,Cristo Redentor (Los Libertadores),127632.0,2.637624253446031
2018,Enero,Brasil,Los Andes,56.706,El Maule,,Cristo Redentor (Los Libertadores),88947.69,1.568576341127923
2018,Enero,Brasil,Los Andes,131.9252,El Maule,,Cristo Redentor (Los Libertadores),434332.0,3.2922595531407195
2018,Enero,Brasil,Metropolitana,3.145,O'Higgins,,Aerop. A. Merino Benítez,24412.74,7.7623974562798095
2018,Enero,Brasil,Metropolitana,16.0,O'Higgins,,Aerop. A. Merino Benítez,66191.0,4.1369375
2018,Enero,Brasil,Los Andes,0.9744,O'Higgins,,Cristo Redentor (Los Libertadores),2016.0,2.068965517241379
2018,Enero,Brasil,Los Andes,130.6662,O'Higgins,,Cristo Redentor (Los Libertadores),380206.0,2.9097501878833243
2018,Enero,Brasil,Los Andes,171.1208,O'Higgins,,Cristo Redentor (Los Libertadores),406339.33,2.3745759136235924
